,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
49,89.0,18.0,18.0,8.0,369.0,1989.77,0.03,38.63,51.51,76854.68,0.66,4269.7,67,0,6,14,18,24,266,103,33,False
50,24.0,19.0,19.0,19.0,160.0,769.18,0.05,19.74,38.97,15179.93,0.26,843.33,21,0,1,0,11,17,99,61,37,False
51,34.0,4.0,1.0,2.0,81.0,397.46,0.09,11.33,35.07,4504.53,0.13,250.25,24,2,6,0,12,18,47,34,7,False
52,31.0,1.0,1.0,1.0,97.0,471.22,0.17,6.0,78.54,2827.34,0.16,157.07,20,1,8,0,6,23,51,46,1,False
53,32.0,4.0,1.0,3.0,103.0,551.83,0.07,13.56,40.7,7481.51,0.18,415.64,24,0,6,0,15,26,56,47,7,True
54,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
55,5.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,3,0,0,0,5,5,8,6,1,False
56,16.0,2.0,1.0,2.0,34.0,149.34,0.18,5.63,26.55,840.03,0.05,46.67,10,0,2,0,9,12,19,15,3,False
57,74.0,13.0,6.0,8.0,205.0,1105.43,0.03,29.24,37.81,32322.63,0.37,1795.7,50,12,10,0,17,25,119,86,25,True
58,32.0,4.0,1.0,4.0,60.0,297.25,0.1,10.31,28.82,3065.41,0.1,170.3,21,3,5,0,15,16,38,22,7,False
59,15.0,1.0,1.0,1.0,35.0,153.73,0.14,7.15,21.5,1099.18,0.05,61.07,6,0,6,0,11,10,22,13,1,False
60,14.0,1.0,1.0,1.0,59.0,277.33,0.12,8.44,32.87,2339.94,0.09,130.0,9,0,2,0,10,16,32,27,1,False
61,21.0,3.0,1.0,2.0,61.0,299.32,0.06,15.43,19.4,4618.09,0.1,256.56,16,0,5,0,16,14,34,27,5,False
62,115.0,22.0,12.0,14.0,369.0,2002.29,0.02,65.86,30.4,131878.2,0.67,7326.57,99,7,7,0,21,22,231,138,43,True
63,28.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,False
64,4.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,2,0,0,0,4,5,6,5,1,False
65,28.0,4.0,1.0,2.0,69.0,338.58,0.06,16.35,20.71,5534.41,0.11,307.47,20,0,6,0,17,13,44,25,7,True
66,79.0,6.0,1.0,3.0,226.0,1268.92,0.03,31.06,40.85,39418.52,0.42,2189.92,49,7,9,5,18,31,119,107,11,False
67,69.0,10.0,4.0,7.0,210.0,1197.09,0.06,17.64,67.88,21110.89,0.4,1172.83,45,10,11,0,15,37,123,87,19,False
68,8.0,1.0,1.0,1.0,21.0,79.95,0.5,2.0,39.98,159.91,0.03,8.88,6,0,0,0,4,10,11,10,1,False
69,5.0,1.0,1.0,1.0,17.0,62.91,0.4,2.5,25.16,157.27,0.02,8.74,3,0,0,0,5,8,9,8,1,False
70,16.0,2.0,1.0,2.0,46.0,205.13,0.13,7.62,26.94,1562.17,0.07,86.79,13,1,2,0,9,13,24,22,3,False
71,30.0,4.0,1.0,4.0,65.0,318.95,0.08,13.14,24.27,4191.89,0.11,232.88,21,0,7,0,16,14,42,23,7,False
72,10.0,2.0,1.0,2.0,26.0,108.42,0.14,7.0,15.49,758.93,0.04,42.16,6,0,0,0,12,6,19,7,3,False
73,11.0,5.0,3.0,3.0,40.0,163.5,0.07,14.4,11.35,2354.38,0.05,130.8,9,0,0,0,12,5,28,12,9,False
74,19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
75,15.0,1.0,1.0,1.0,40.0,166.8,0.37,2.71,61.45,452.73,0.06,25.15,7,3,3,0,4,14,21,19,1,False
76,40.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,True
77,27.0,1.0,1.0,1.0,89.0,418.34,0.11,8.74,47.89,3654.32,0.14,203.02,18,0,5,0,9,17,56,33,1,False
78,44.0,5.0,3.0,3.0,142.0,770.53,0.04,26.25,29.35,20226.4,0.26,1123.69,31,0,11,0,21,22,87,55,9,True
79,844.0,404.0,1.0,2.0,2033.0,20848.47,0.0,206.01,101.2,4294926.45,6.95,238607.05,814,17,11,0,411,811,1220,813,405,True
80,5.0,2.0,1.0,1.0,15.0,55.51,0.29,3.5,15.86,194.27,0.02,10.79,3,0,0,0,7,6,9,6,3,False
81,4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
82,8.0,1.0,1.0,1.0,37.0,159.91,0.14,7.33,21.81,1172.68,0.05,65.15,7,0,1,0,11,9,25,12,1,False
83,40.0,7.0,6.0,6.0,164.0,834.34,0.02,45.6,18.3,38046.08,0.28,2113.67,31,0,7,0,19,15,92,72,13,False
84,31.0,3.0,1.0,2.0,82.0,413.64,0.06,18.0,22.98,7445.53,0.14,413.64,23,0,5,0,18,15,52,30,5,False
85,9.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,4,0,3,0,7,5,9,6,1,False
86,33.0,9.0,5.0,4.0,107.0,544.36,0.06,16.58,32.83,9024.89,0.18,501.38,20,5,6,0,15,19,65,42,17,False
87,8.0,2.0,1.0,2.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,5,0,1,0,5,4,6,4,3,False
88,14.0,6.0,4.0,3.0,189.0,991.86,0.03,30.25,32.79,30003.71,0.33,1666.87,5,0,4,3,22,16,145,44,11,False
89,91.0,13.0,8.0,5.0,273.0,1481.37,0.02,58.08,25.51,86030.58,0.49,4779.48,59,14,10,6,23,20,172,101,25,False
90,52.0,7.0,1.0,7.0,211.0,1090.85,0.05,21.78,50.09,23758.8,0.36,1319.93,48,0,2,0,11,25,112,99,13,False
91,4.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,2,0,0,0,4,5,6,5,1,False
92,24.0,2.0,1.0,2.0,95.0,470.65,0.08,12.1,38.9,5694.85,0.16,316.38,18,0,4,0,11,20,51,44,3,False
93,36.0,6.0,1.0,3.0,142.0,722.42,0.05,19.19,37.64,13863.58,0.24,770.2,21,1,11,0,13,21,80,62,11,False
94,163.0,33.0,15.0,15.0,433.0,2782.57,0.02,40.27,69.1,112057.5,0.93,6225.42,143,6,12,0,27,59,257,176,64,True
95,13.0,1.0,1.0,1.0,193.0,896.26,0.06,18.0,49.79,16132.76,0.3,896.26,11,0,0,0,10,15,139,54,1,False
96,8.0,1.0,1.0,1.0,26.0,101.58,0.42,2.36,42.98,240.1,0.03,13.34,6,0,0,0,4,11,13,13,1,False
97,16.0,2.0,1.0,2.0,35.0,153.73,0.24,4.25,36.17,653.36,0.05,36.3,13,0,1,0,7,14,18,17,3,False
98,33.0,1.0,1.0,1.0,95.0,435.57,0.13,7.5,58.08,3266.79,0.15,181.49,16,5,10,0,6,18,50,45,1,False
99,5.0,1.0,1.0,1.0,11.0,36.54,0.33,3.0,12.18,109.62,0.01,6.09,2,0,1,0,6,4,7,4,1,False
100,60.0,4.0,1.0,3.0,210.0,1185.21,0.05,21.65,54.75,25656.31,0.4,1425.35,39,10,8,0,16,34,118,92,7,False
101,11.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
102,147.0,21.0,11.0,15.0,380.0,2402.33,0.03,31.86,75.4,76543.29,0.8,4252.4,115,6,24,0,22,58,215,168,41,True
103,34.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,True
104,6.0,1.0,1.0,1.0,20.0,76.15,0.33,3.0,25.38,228.44,0.03,12.69,4,0,0,0,6,8,12,8,1,True
105,17.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,21,False
106,20.0,4.0,1.0,1.0,72.0,274.13,0.06,17.5,15.66,4797.27,0.09,266.51,16,0,2,0,7,7,37,35,7,False
107,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,7.86,49.13,0.01,2.73,2,0,0,0,5,2,5,2,1,True
108,17.0,2.0,1.0,2.0,30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,12,0,2,0,6,10,16,14,3,False
109,32.0,7.0,5.0,1.0,68.0,303.24,0.05,20.22,15.0,6132.21,0.1,340.68,28,0,2,0,13,9,40,28,13,False
110,20.0,2.0,1.0,2.0,47.0,212.61,0.22,4.59,46.28,976.67,0.07,54.26,11,1,4,1,7,16,26,21,3,False
111,21.0,2.0,1.0,1.0,35.0,175.0,0.12,8.5,20.59,1487.5,0.06,82.64,19,0,0,0,17,15,20,15,3,False
112,8.0,2.0,1.0,2.0,28.0,100.38,0.15,6.5,15.44,652.46,0.03,36.25,5,0,1,0,6,6,15,13,3,False
113,22.0,5.0,1.0,4.0,77.0,388.42,0.05,19.66,19.76,7634.85,0.13,424.16,16,0,4,0,17,16,40,37,9,False
114,182.0,42.0,27.0,25.0,779.0,5219.64,0.02,65.26,79.97,340687.48,1.74,18927.08,148,5,7,20,30,74,457,322,83,True
115,8.0,3.0,3.0,2.0,19.0,74.23,0.17,6.0,12.37,445.39,0.02,24.74,5,0,1,0,9,6,11,8,5,False
116,51.0,6.0,1.0,2.0,127.0,723.96,0.05,18.21,39.75,13186.34,0.24,732.57,34,0,14,0,17,35,52,75,7,False
117,6.0,1.0,1.0,1.0,11.0,33.0,0.5,2.0,16.5,66.0,0.01,3.67,3,0,1,0,4,4,7,4,1,False
118,7.0,1.0,1.0,1.0,16.0,41.36,0.17,6.0,6.89,248.16,0.01,13.79,4,0,1,0,4,2,10,6,1,False
119,10.0,1.0,1.0,1.0,27.0,93.4,0.22,4.58,20.38,428.1,0.03,23.78,6,0,2,0,5,6,16,11,1,False
120,32.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19,False
121,15.0,1.0,1.0,1.0,40.0,166.8,0.37,2.71,61.45,452.73,0.06,25.15,9,3,3,0,4,14,21,19,1,False
122,4.0,1.0,1.0,1.0,6.0,15.51,0.5,2.0,7.75,31.02,0.01,1.72,2,0,0,0,4,2,4,2,1,False
123,4.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2,0,0,0,3,2,3,2,1,False
124,19.0,5.0,1.0,4.0,62.0,310.0,0.08,12.79,24.23,3966.18,0.1,220.34,16,0,1,0,15,17,33,29,9,False
125,22.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,False
126,56.0,9.0,7.0,5.0,165.0,900.81,0.03,31.0,29.06,27924.99,0.3,1551.39,42,0,12,0,22,22,103,62,17,False
127,13.0,1.0,1.0,1.0,34.0,151.62,0.11,9.39,16.14,1423.55,0.05,79.09,10,0,3,0,13,9,21,13,1,False
128,27.0,2.0,1.0,2.0,84.0,420.0,0.07,15.3,27.45,6426.0,0.14,357.0,20,0,5,0,17,15,57,27,3,False
129,5.0,1.0,1.0,1.0,15.0,53.77,0.24,4.2,12.8,225.85,0.02,12.55,3,0,0,0,7,5,9,6,1,True
130,4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
131,101.0,18.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,35,True
132,6.0,1.0,1.0,1.0,15.0,47.55,0.36,2.8,16.98,133.14,0.02,7.4,4,0,0,0,4,5,8,7,1,False
133,4.0,1.0,1.0,1.0,3.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,3,0,1,False
134,18.0,1.0,1.0,1.0,18.0,72.0,0.3,3.3,21.82,237.6,0.02,13.2,14,0,2,0,6,10,7,11,1,False
135,18.0,1.0,1.0,1.0,74.0,325.03,0.07,13.75,23.64,4469.18,0.11,248.29,12,0,4,0,11,10,49,25,1,False
136,14.0,3.0,1.0,2.0,42.0,187.3,0.13,7.8,24.01,1460.91,0.06,81.16,10,0,2,0,12,10,29,13,5,True
137,17.0,2.0,1.0,2.0,41.0,182.84,0.17,5.88,31.07,1075.92,0.06,59.77,13,0,1,0,9,13,24,17,3,False
138,7.0,2.0,1.0,2.0,20.0,80.0,0.16,6.43,12.44,514.28,0.03,28.57,4,0,1,0,9,7,10,10,3,False
139,15.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,True
140,99.0,13.0,5.0,10.0,340.0,2047.61,0.03,32.42,63.15,66391.36,0.68,3688.41,83,0,14,0,19,46,183,157,25,True
141,45.0,5.0,1.0,4.0,127.0,680.41,0.07,15.0,45.36,10206.14,0.23,567.01,27,8,7,1,15,26,75,52,9,True
142,5.0,1.0,1.0,1.0,17.0,60.94,0.29,3.5,17.41,213.31,0.02,11.85,3,0,0,0,6,6,10,7,1,False
143,32.0,5.0,1.0,4.0,101.0,509.48,0.05,19.68,25.89,10025.91,0.17,557.0,24,0,6,0,19,14,72,29,9,False
144,15.0,4.0,3.0,2.0,33.0,137.61,0.08,11.79,11.68,1621.8,0.05,90.1,11,0,2,0,11,7,18,15,7,False
145,29.0,5.0,1.0,4.0,70.0,312.16,0.06,15.6,20.01,4869.7,0.1,270.54,19,4,4,0,12,10,44,26,9,False
146,8.0,1.0,1.0,1.0,20.0,74.01,0.5,2.0,37.0,148.02,0.02,8.22,6,0,0,0,4,9,11,9,1,False
147,51.0,8.0,1.0,6.0,112.0,520.11,0.05,18.92,27.49,9842.12,0.17,546.78,47,0,2,0,12,13,71,41,15,False
148,4.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2,0,0,0,4,4,5,4,1,False
149,15.0,2.0,1.0,2.0,35.0,151.27,0.19,5.33,28.36,806.76,0.05,44.82,13,0,2,0,8,12,19,16,3,True
150,27.0,3.0,3.0,3.0,84.0,403.82,0.05,19.0,21.25,7672.54,0.13,426.25,19,3,2,0,14,14,46,38,5,False
151,32.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
152,22.0,17.0,12.0,3.0,443.0,2388.8,0.02,47.25,50.56,112870.64,0.8,6270.59,18,1,1,0,18,24,317,126,33,False
153,69.0,7.0,1.0,7.0,172.0,915.37,0.04,22.67,40.38,20748.42,0.31,1152.69,47,4,15,1,16,24,104,68,13,True
154,35.0,12.0,12.0,8.0,130.0,618.14,0.04,26.18,23.61,16183.91,0.21,899.11,28,0,3,0,16,11,94,36,23,False
155,24.0,5.0,4.0,4.0,72.0,356.7,0.08,12.66,28.18,4514.51,0.12,250.81,18,0,4,0,15,16,45,27,9,False
156,20.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,False
157,27.0,3.0,1.0,2.0,59.0,254.99,0.11,9.0,28.33,2294.94,0.08,127.5,18,0,5,0,9,11,37,22,5,False
158,70.0,15.0,1.0,4.0,147.0,842.0,0.05,21.1,39.9,17769.19,0.28,987.18,58,0,5,5,24,29,96,51,24,False
159,47.0,7.0,5.0,2.0,181.0,840.54,0.02,47.81,17.58,40188.22,0.28,2232.68,40,0,5,0,17,8,136,45,13,False
160,32.0,2.0,1.0,2.0,64.0,300.83,0.08,12.83,23.44,3860.63,0.1,214.48,19,4,5,0,14,12,42,22,3,False
161,172.0,20.0,1.0,18.0,735.0,3937.8,0.01,141.2,27.89,556035.36,1.31,30890.85,139,8,22,0,21,23,428,331,39,False
162,76.0,8.0,4.0,7.0,206.0,1117.81,0.05,22.21,50.34,24823.1,0.37,1379.06,67,3,4,0,14,29,114,92,15,False
163,60.0,25.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,49,False
164,17.0,5.0,3.0,3.0,30.0,129.66,0.12,8.25,15.72,1069.68,0.04,59.43,10,0,1,0,12,8,19,11,9,False
165,4.0,1.0,1.0,1.0,9.0,25.27,0.27,3.75,6.74,94.75,0.01,5.26,2,0,0,0,5,2,6,3,1,False
166,17.0,3.0,1.0,1.0,36.0,140.65,0.07,14.0,10.05,1969.07,0.05,109.39,12,0,2,1,10,5,22,14,5,False
167,7.0,1.0,1.0,1.0,19.0,70.31,0.21,4.67,15.07,328.11,0.02,18.23,3,0,2,0,7,6,11,8,1,True
168,49.0,3.0,1.0,2.0,35.0,136.74,0.12,8.57,15.95,1172.07,0.05,65.11,15,11,21,0,8,7,20,15,5,True
169,42.0,9.0,9.0,7.0,213.0,1202.14,0.03,29.73,40.44,35734.62,0.4,1985.26,34,0,8,0,19,31,116,97,17,False
170,19.0,2.0,1.0,2.0,56.0,249.73,0.08,12.0,20.81,2996.74,0.08,166.49,16,0,1,0,12,10,36,20,3,True
171,36.0,7.0,3.0,2.0,79.0,408.42,0.05,21.7,18.82,8862.8,0.14,492.38,26,6,2,0,21,15,48,31,13,False
172,6.0,1.0,1.0,1.0,32.0,135.93,0.29,3.46,39.27,470.54,0.05,26.14,4,0,0,0,6,13,17,15,1,False
173,17.0,2.0,1.0,2.0,35.0,143.06,0.3,3.33,42.92,476.87,0.05,26.49,15,0,0,0,5,12,19,16,3,False
174,29.0,5.0,5.0,2.0,108.0,578.62,0.04,23.74,24.38,13734.51,0.19,763.03,27,0,2,0,22,19,67,41,9,False
175,7.0,2.0,1.0,2.0,12.0,39.86,0.27,3.75,10.63,149.49,0.01,8.3,5,0,0,0,6,4,7,5,3,False
176,6.0,2.0,1.0,1.0,21.0,69.76,0.11,9.33,7.47,651.1,0.02,36.17,4,0,0,0,7,3,13,8,3,False
177,19.0,3.0,1.0,2.0,36.0,150.12,0.13,7.5,20.02,1125.88,0.05,62.55,15,0,2,0,9,9,21,15,5,False
178,9.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,False
179,7.0,1.0,1.0,1.0,21.0,85.84,0.2,5.0,17.17,429.18,0.03,23.84,5,0,0,0,10,7,14,7,1,True
180,6.0,1.0,1.0,1.0,43.0,179.31,0.26,3.85,46.62,689.64,0.06,38.31,4,0,0,0,5,13,23,20,1,False
181,39.0,5.0,1.0,5.0,83.0,425.73,0.12,8.48,50.21,3609.84,0.14,200.55,28,2,5,2,11,24,46,37,9,False
182,200.0,26.0,25.0,16.0,595.0,4027.07,0.03,38.52,104.53,155140.4,1.34,8618.91,158,17,23,0,27,82,361,234,51,False
183,4.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2,0,0,0,3,1,3,1,1,False
184,17.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,19,False
185,37.0,4.0,3.0,3.0,107.0,553.18,0.1,9.62,57.53,5319.06,0.18,295.5,32,0,3,0,10,26,57,50,7,False
186,65.0,10.0,6.0,4.0,160.0,873.51,0.05,21.72,40.21,18974.56,0.29,1054.14,46,10,6,0,17,27,91,69,19,True
187,44.0,8.0,1.0,1.0,119.0,530.67,0.02,50.36,10.54,26723.14,0.18,1484.62,27,10,2,3,15,7,72,47,15,False
188,25.0,13.0,12.0,2.0,104.0,574.45,0.08,12.8,44.88,7352.97,0.19,408.5,21,0,2,0,16,30,56,48,25,False
189,15.0,2.0,1.0,2.0,62.0,267.96,0.07,15.0,17.86,4019.39,0.09,223.3,12,0,1,0,12,8,42,20,3,True
190,47.0,2.0,1.0,2.0,123.0,683.21,0.11,9.43,72.46,6441.74,0.23,357.87,29,5,11,0,12,35,68,55,3,True
191,19.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11,False
192,108.0,14.0,3.0,11.0,315.0,1812.79,0.03,32.65,55.53,59182.25,0.6,3287.9,73,14,17,2,20,34,204,111,27,True
193,20.0,3.0,3.0,2.0,52.0,249.98,0.08,12.12,20.63,3028.63,0.08,168.26,16,0,2,0,15,13,31,21,5,False
